# degree-percentile buckets, k=5, 10 per bucket, seed=42
# graph: 317080 vertices, 1049866 edges, max core 113
# vertex,k,bucket
63620,5,p0_10
88066,5,p0_10
37379,5,p0_10
267675,5,p0_10
88293,5,p0_10
150220,5,p0_10
34441,5,p0_10
141179,5,p0_10
237426,5,p0_10
229640,5,p0_10
122,5,p10_20
109859,5,p10_20
322060,5,p10_20
137152,5,p10_20
104489,5,p10_20
212414,5,p10_20
240411,5,p10_20
276556,5,p10_20
268250,5,p10_20
122458,5,p10_20
316889,5,p20_30
332744,5,p20_30
230766,5,p20_30
315136,5,p20_30
91287,5,p20_30
276865,5,p20_30
290478,5,p20_30
22909,5,p20_30
363813,5,p20_30
3921,5,p20_30
168510,5,p30_40
96644,5,p30_40
363819,5,p30_40
114519,5,p30_40
191561,5,p30_40
409577,5,p30_40
297902,5,p30_40
325780,5,p30_40
223397,5,p30_40
274227,5,p30_40
304195,5,p40_50
40549,5,p40_50
267316,5,p40_50
165122,5,p40_50
130480,5,p40_50
102688,5,p40_50
38241,5,p40_50
70734,5,p40_50
354456,5,p40_50
290846,5,p40_50
60938,5,p50_60
388792,5,p50_60
385720,5,p50_60
78047,5,p50_60
386883,5,p50_60
69866,5,p50_60
222418,5,p50_60
63835,5,p50_60
152518,5,p50_60
30686,5,p50_60
22627,5,p60_70
265137,5,p60_70
420295,5,p60_70
366388,5,p60_70
381655,5,p60_70
285474,5,p60_70
61387,5,p60_70
347016,5,p60_70
273324,5,p60_70
384935,5,p60_70
154003,5,p70_80
279950,5,p70_80
233632,5,p70_80
231187,5,p70_80
292454,5,p70_80
286897,5,p70_80
170197,5,p70_80
221988,5,p70_80
127696,5,p70_80
250205,5,p70_80
325740,5,p80_90
319587,5,p80_90
16165,5,p80_90
357196,5,p80_90
55315,5,p80_90
370231,5,p80_90
328095,5,p80_90
81583,5,p80_90
358168,5,p80_90
84763,5,p80_90
147237,5,p90_100
243991,5,p90_100
207023,5,p90_100
268791,5,p90_100
330070,5,p90_100
392215,5,p90_100
238079,5,p90_100
167912,5,p90_100
240205,5,p90_100
234394,5,p90_100
