# vertex,k stratified by core number
18035,2
18035,5
18035,10
18035,20
110696,2
110696,5
110696,10
110696,20
93250,2
93250,5
93250,10
93250,20
127771,2
127771,5
127771,10
127771,20
4,2
4,5
4,10
4,20
11,2
11,5
11,10
11,20
53,2
53,5
53,10
53,20
35,2
35,5
35,10
35,20
27,2
27,5
27,10
27,20
264,2
264,5
264,10
264,20
367961,2
367961,5
367961,10
367961,20
375116,2
375116,5
375116,10
375116,20
389033,2
389033,5
389033,10
389033,20
390982,2
390982,5
390982,10
390982,20
234832,2
234832,5
234832,10
234832,20
234834,2
234834,5
234834,10
234834,20
267327,2
267327,5
267327,10
267327,20
267328,2
267328,5
267328,10
267328,20
328548,2
328548,5
328548,10
328548,20
328549,2
328549,5
328549,10
328549,20
286509,2
286509,5
286509,10
286509,20
286511,2
286511,5
286511,10
286511,20
294935,2
294935,5
294935,10
294935,20
294936,2
294936,5
294936,10
294936,20
294937,2
294937,5
294937,10
294937,20
306215,2
306215,5
306215,10
306215,20
307088,2
307088,5
307088,10
307088,20
307089,2
307089,5
307089,10
307089,20
307090,2
307090,5
307090,10
307090,20
308943,2
308943,5
308943,10
308943,20
