# degree-percentile buckets, k=5, 100 per bucket, seed=42
# graph: 5241 vertices, 14484 edges, max core 43
# vertex,k,bucket
22901,5,p0_10
11241,5,p0_10
24330,5,p0_10
22177,5,p0_10
5621,5,p0_10
339,5,p0_10
15148,5,p0_10
3820,5,p0_10
22903,5,p0_10
22887,5,p0_10
18894,5,p0_10
6868,5,p0_10
24559,5,p0_10
26039,5,p0_10
5412,5,p0_10
7712,5,p0_10
12781,5,p0_10
4575,5,p0_10
13482,5,p0_10
2072,5,p0_10
3909,5,p0_10
20534,5,p0_10
23514,5,p0_10
17580,5,p0_10
18778,5,p0_10
11015,5,p0_10
615,5,p0_10
18122,5,p0_10
12627,5,p0_10
6708,5,p0_10
22691,5,p0_10
25271,5,p0_10
12491,5,p0_10
18453,5,p0_10
19216,5,p0_10
18952,5,p0_10
22527,5,p0_10
8254,5,p0_10
22601,5,p0_10
18000,5,p0_10
832,5,p0_10
19640,5,p0_10
88,5,p0_10
20562,5,p0_10
5065,5,p0_10
4513,5,p0_10
1563,5,p0_10
23836,5,p0_10
1217,5,p0_10
8261,5,p0_10
9313,5,p0_10
12587,5,p0_10
45,5,p0_10
12927,5,p0_10
23452,5,p0_10
20780,5,p0_10
14766,5,p0_10
3814,5,p0_10
12851,5,p0_10
24696,5,p0_10
5052,5,p0_10
18940,5,p0_10
185,5,p0_10
17385,5,p0_10
10243,5,p0_10
2287,5,p0_10
2457,5,p0_10
16469,5,p0_10
9433,5,p0_10
21994,5,p0_10
2952,5,p0_10
3372,5,p0_10
8280,5,p0_10
24474,5,p0_10
4703,5,p0_10
23382,5,p0_10
17911,5,p0_10
26038,5,p0_10
15144,5,p0_10
5953,5,p0_10
46,5,p0_10
1151,5,p0_10
4068,5,p0_10
15108,5,p0_10
1074,5,p0_10
20774,5,p0_10
2774,5,p0_10
1293,5,p0_10
3534,5,p0_10
18208,5,p0_10
17819,5,p0_10
13714,5,p0_10
9639,5,p0_10
11964,5,p0_10
17038,5,p0_10
3113,5,p0_10
4511,5,p0_10
8768,5,p0_10
492,5,p0_10
3283,5,p0_10
12266,5,p10_20
14181,5,p10_20
3193,5,p10_20
14707,5,p10_20
17828,5,p10_20
2949,5,p10_20
3872,5,p10_20
1493,5,p10_20
5407,5,p10_20
13955,5,p10_20
1997,5,p10_20
19517,5,p10_20
17414,5,p10_20
14534,5,p10_20
22144,5,p10_20
1727,5,p10_20
5162,5,p10_20
21646,5,p10_20
25607,5,p10_20
11379,5,p10_20
12406,5,p10_20
9937,5,p10_20
4422,5,p10_20
12884,5,p10_20
23770,5,p10_20
26127,5,p10_20
1941,5,p10_20
3466,5,p10_20
10590,5,p10_20
8851,5,p10_20
5172,5,p10_20
8375,5,p10_20
3006,5,p10_20
13859,5,p10_20
20595,5,p10_20
17612,5,p10_20
4896,5,p10_20
13966,5,p10_20
23649,5,p10_20
1667,5,p10_20
934,5,p10_20
23577,5,p10_20
24097,5,p10_20
19657,5,p10_20
22758,5,p10_20
8072,5,p10_20
14351,5,p10_20
12553,5,p10_20
21754,5,p10_20
14667,5,p10_20
10113,5,p10_20
24845,5,p10_20
1310,5,p10_20
10039,5,p10_20
1854,5,p10_20
11318,5,p10_20
18751,5,p10_20
6724,5,p10_20
1116,5,p10_20
24412,5,p10_20
10496,5,p10_20
22778,5,p10_20
22242,5,p10_20
1234,5,p10_20
7926,5,p10_20
16881,5,p10_20
3922,5,p10_20
18517,5,p10_20
2661,5,p10_20
24753,5,p10_20
1620,5,p10_20
11609,5,p10_20
2556,5,p10_20
7245,5,p10_20
10268,5,p10_20
14149,5,p10_20
5287,5,p10_20
16347,5,p10_20
2797,5,p10_20
15846,5,p10_20
10726,5,p10_20
9037,5,p10_20
2368,5,p10_20
10942,5,p10_20
4351,5,p10_20
22876,5,p10_20
8312,5,p10_20
11591,5,p10_20
6442,5,p10_20
13060,5,p10_20
15235,5,p10_20
15784,5,p10_20
14337,5,p10_20
135,5,p10_20
1765,5,p10_20
9360,5,p10_20
2620,5,p10_20
23233,5,p10_20
122,5,p10_20
19808,5,p10_20
7311,5,p20_30
6183,5,p20_30
8224,5,p20_30
11746,5,p20_30
1817,5,p20_30
16747,5,p20_30
16039,5,p20_30
3204,5,p20_30
4713,5,p20_30
93,5,p20_30
17583,5,p20_30
22184,5,p20_30
17746,5,p20_30
12141,5,p20_30
23186,5,p20_30
15559,5,p20_30
18771,5,p20_30
19562,5,p20_30
5156,5,p20_30
17968,5,p20_30
9207,5,p20_30
18286,5,p20_30
18299,5,p20_30
6543,5,p20_30
21100,5,p20_30
6824,5,p20_30
22837,5,p20_30
23383,5,p20_30
2182,5,p20_30
17443,5,p20_30
17688,5,p20_30
22147,5,p20_30
25783,5,p20_30
5541,5,p20_30
20940,5,p20_30
12032,5,p20_30
25937,5,p20_30
14709,5,p20_30
2193,5,p20_30
14638,5,p20_30
21466,5,p20_30
6465,5,p20_30
5116,5,p20_30
3099,5,p20_30
1674,5,p20_30
4195,5,p20_30
7625,5,p20_30
12806,5,p20_30
2490,5,p20_30
1840,5,p20_30
11053,5,p20_30
15571,5,p20_30
13205,5,p20_30
20014,5,p20_30
16415,5,p20_30
22321,5,p20_30
4825,5,p20_30
3228,5,p20_30
17681,5,p20_30
9439,5,p20_30
13712,5,p20_30
24713,5,p20_30
22318,5,p20_30
3593,5,p20_30
13333,5,p20_30
3066,5,p20_30
12551,5,p20_30
18621,5,p20_30
4125,5,p20_30
896,5,p20_30
17472,5,p20_30
14153,5,p20_30
17764,5,p20_30
15582,5,p20_30
11141,5,p20_30
8669,5,p20_30
12492,5,p20_30
19954,5,p20_30
4371,5,p20_30
6172,5,p20_30
2452,5,p20_30
17187,5,p20_30
2303,5,p20_30
15516,5,p20_30
23986,5,p20_30
4697,5,p20_30
23394,5,p20_30
23628,5,p20_30
17285,5,p20_30
4771,5,p20_30
8063,5,p20_30
10376,5,p20_30
8680,5,p20_30
13558,5,p20_30
1090,5,p20_30
20116,5,p20_30
20182,5,p20_30
16123,5,p20_30
15163,5,p20_30
10555,5,p20_30
18600,5,p30_40
18102,5,p30_40
20243,5,p30_40
23506,5,p30_40
573,5,p30_40
24398,5,p30_40
17683,5,p30_40
15159,5,p30_40
1404,5,p30_40
9127,5,p30_40
5960,5,p30_40
5825,5,p30_40
19527,5,p30_40
25419,5,p30_40
7265,5,p30_40
192,5,p30_40
3076,5,p30_40
8195,5,p30_40
2200,5,p30_40
19144,5,p30_40
20002,5,p30_40
22028,5,p30_40
7829,5,p30_40
17750,5,p30_40
18970,5,p30_40
18739,5,p30_40
10819,5,p30_40
23084,5,p30_40
20383,5,p30_40
14007,5,p30_40
10549,5,p30_40
18373,5,p30_40
19314,5,p30_40
22899,5,p30_40
20033,5,p30_40
16598,5,p30_40
18612,5,p30_40
1914,5,p30_40
24,5,p30_40
6808,5,p30_40
8857,5,p30_40
8801,5,p30_40
1353,5,p30_40
18983,5,p30_40
6506,5,p30_40
19603,5,p30_40
21324,5,p30_40
26193,5,p30_40
22618,5,p30_40
19012,5,p30_40
6094,5,p30_40
2611,5,p30_40
17280,5,p30_40
19974,5,p30_40
8079,5,p30_40
3595,5,p30_40
22466,5,p30_40
15353,5,p30_40
16280,5,p30_40
19932,5,p30_40
11047,5,p30_40
14374,5,p30_40
16041,5,p30_40
8864,5,p30_40
26019,5,p30_40
364,5,p30_40
3953,5,p30_40
22966,5,p30_40
21162,5,p30_40
11537,5,p30_40
16498,5,p30_40
10550,5,p30_40
21344,5,p30_40
16568,5,p30_40
4288,5,p30_40
19387,5,p30_40
21583,5,p30_40
11662,5,p30_40
8705,5,p30_40
9341,5,p30_40
18648,5,p30_40
10153,5,p30_40
26048,5,p30_40
19150,5,p30_40
9643,5,p30_40
22108,5,p30_40
18613,5,p30_40
238,5,p30_40
21723,5,p30_40
11967,5,p30_40
21495,5,p30_40
14983,5,p30_40
1908,5,p30_40
6558,5,p30_40
24101,5,p30_40
11328,5,p30_40
2190,5,p30_40
19351,5,p30_40
20902,5,p30_40
19964,5,p30_40
1254,5,p40_50
12688,5,p40_50
8876,5,p40_50
6858,5,p40_50
4988,5,p40_50
8732,5,p40_50
6095,5,p40_50
6911,5,p40_50
12065,5,p40_50
2922,5,p40_50
8305,5,p40_50
14691,5,p40_50
16726,5,p40_50
15123,5,p40_50
11495,5,p40_50
