# high/low degree query sets, 100 per set, seed=42
# graph: 5241 vertices, 14484 edges, max core 43
# vertex,set
19890,H
5621,H
46,H
14093,H
17113,H
11733,H
14419,H
3843,H
13205,H
15562,H
2182,H
14078,H
24110,H
8823,H
7725,H
5441,H
16654,H
9656,H
3655,H
8151,H
345,H
10062,H
10623,H
2338,H
1658,H
10791,H
9248,H
22275,H
6529,H
4422,H
9208,H
16778,H
7475,H
21125,H
12781,H
17250,H
1186,H
6012,H
5555,H
15372,H
21432,H
1545,H
18034,H
13056,H
3534,H
12675,H
9249,H
25931,H
17207,H
10966,H
6408,H
3812,H
12032,H
20827,H
20391,H
3877,H
12503,H
7307,H
25469,H
9591,H
17149,H
14932,H
1116,H
5519,H
3387,H
7090,H
339,H
6456,H
25316,H
17997,H
7087,H
16389,H
14924,H
18543,H
18920,H
2560,H
4512,H
5407,H
23841,H
20879,H
930,H
8471,H
6543,H
3048,H
21718,H
14599,H
12135,H
18585,H
17330,H
20030,H
11876,H
5695,H
21860,H
12659,H
11082,H
19936,H
4115,H
320,H
9020,H
3178,H
25382,L
21029,L
15252,L
15802,L
7935,L
12296,L
19145,L
2409,L
18032,L
23730,L
6031,L
17875,L
10153,L
9758,L
22487,L
24202,L
10186,L
23559,L
9984,L
4576,L
16621,L
5483,L
25211,L
3532,L
11944,L
269,L
17467,L
25729,L
15382,L
12863,L
21713,L
20150,L
17277,L
13022,L
24248,L
8815,L
24163,L
5830,L
2527,L
11125,L
25565,L
17388,L
16067,L
16159,L
13970,L
5767,L
22976,L
19161,L
1966,L
2186,L
2810,L
17120,L
6832,L
8437,L
25667,L
9643,L
4702,L
4380,L
25663,L
12763,L
19222,L
16110,L
21165,L
22929,L
22899,L
6828,L
10478,L
19927,L
6919,L
25217,L
19940,L
13498,L
17817,L
15253,L
3207,L
787,L
19442,L
21149,L
9517,L
2516,L
11470,L
19741,L
10526,L
24149,L
10382,L
17297,L
16756,L
14698,L
4958,L
17276,L
18613,L
23727,L
2081,L
21697,L
20959,L
3174,L
375,L
7592,L
3852,L
14771,L
