# vertex,k  (stratified by core number)
24372,2
24372,3
24372,5
24372,10
5740,2
5740,3
5740,5
5740,10
18235,2
18235,3
18235,5
18235,10
18549,2
18549,3
18549,5
18549,10
24731,2
24731,3
24731,5
24731,10
12338,2
12338,3
12338,5
12338,10
15800,2
15800,3
15800,5
15800,10
5256,2
5256,3
5256,5
5256,10
5257,2
5257,3
5257,5
5257,10
22827,2
22827,3
22827,5
22827,10
22887,2
22887,3
22887,5
22887,10
23293,2
23293,3
23293,5
23293,10
24955,2
24955,3
24955,5
24955,10
25346,2
25346,3
25346,5
25346,10
25758,2
25758,3
25758,5
25758,10
