bucket,vertex,k,communities,answer_edges,indexed_ms,indexfree_ms,speedup
p0_10,63620,5,3,400533,28.189667,983.017458,34.87
p0_10,88066,5,4,33,0.013875,0.099792,7.19
p0_10,37379,5,1,400517,27.878000,943.180667,33.83
p0_10,267675,5,1,400517,27.616583,1013.339166,36.69
p0_10,88293,5,5,400530,25.317250,983.055875,38.83
p0_10,150220,5,1,400517,25.287375,938.454167,37.11
p0_10,34441,5,4,400522,23.708792,909.568958,38.36
p0_10,141179,5,1,400517,23.874958,921.044917,38.58
p0_10,237426,5,1,153,0.006791,0.247875,36.50
p0_10,229640,5,1,400517,23.603709,982.210042,41.61
p10_20,122,5,0,0,0.005125,0.007709,1.50
p10_20,109859,5,0,0,0.000917,0.003708,4.04
p10_20,322060,5,1,103,0.016916,0.122458,7.24
p10_20,137152,5,2,22,0.006167,0.022500,3.65
p10_20,104489,5,2,40,0.007000,0.049875,7.13
p10_20,212414,5,1,400517,27.784916,983.390834,35.39
p10_20,240411,5,1,400517,29.275334,1040.523292,35.54
p10_20,276556,5,1,400517,26.448750,1091.603042,41.27
p10_20,268250,5,1,400517,27.045250,1138.621916,42.10
p10_20,122458,5,3,400519,26.262208,919.507833,35.01
p20_30,316889,5,1,400517,27.448458,886.613667,32.30
p20_30,332744,5,1,400517,28.914542,976.570167,33.77
p20_30,230766,5,0,0,0.016500,0.007250,0.44
p20_30,315136,5,1,400517,34.308541,903.070416,26.32
p20_30,91287,5,0,0,0.004667,0.007250,1.55
p20_30,276865,5,1,63,0.015833,0.073291,4.63
p20_30,290478,5,0,0,0.000667,0.004292,6.43
p20_30,22909,5,1,400517,27.564792,922.266709,33.46
p20_30,363813,5,1,52,0.012584,0.169959,13.51
p20_30,3921,5,1,400517,27.111375,1019.573625,37.61
p30_40,168510,5,1,15,0.004042,0.020458,5.06
p30_40,96644,5,0,0,0.000625,0.003166,5.07
p30_40,363819,5,1,400517,26.426625,1345.602833,50.92
p30_40,114519,5,1,15,0.005250,0.024833,4.73
p30_40,191561,5,0,0,0.000583,0.003500,6.00
p30_40,409577,5,1,400517,30.839292,942.738125,30.57
p30_40,297902,5,0,0,0.002375,0.006375,2.68
p30_40,325780,5,0,0,0.000833,0.002750,3.30
p30_40,223397,5,0,0,0.000625,0.003208,5.13
p30_40,274227,5,0,0,0.000583,0.002625,4.50
p40_50,304195,5,0,0,0.000375,0.002459,6.56
p40_50,40549,5,0,0,0.000500,0.002291,4.58
p40_50,267316,5,0,0,0.000500,0.002084,4.17
p40_50,165122,5,0,0,0.000500,0.002250,4.50
p40_50,130480,5,0,0,0.000541,0.001958,3.62
p40_50,102688,5,0,0,0.000666,0.002167,3.25
p40_50,38241,5,0,0,0.000541,0.002333,4.31
p40_50,70734,5,0,0,0.000416,0.002209,5.31
p40_50,354456,5,0,0,0.000500,0.002125,4.25
p40_50,290846,5,0,0,0.000542,0.001959,3.61
p50_60,60938,5,0,0,0.000584,0.001750,3.00
p50_60,388792,5,0,0,0.000459,0.002208,4.81
p50_60,385720,5,0,0,0.000542,0.002167,4.00
p50_60,78047,5,0,0,0.000750,0.001500,2.00
p50_60,386883,5,0,0,0.000500,0.002042,4.08
p50_60,69866,5,0,0,0.000667,0.001875,2.81
p50_60,222418,5,0,0,0.000500,0.001417,2.83
p50_60,63835,5,0,0,0.000500,0.001583,3.17
p50_60,152518,5,0,0,0.000750,0.001500,2.00
p50_60,30686,5,0,0,0.000875,0.073166,83.62
p60_70,22627,5,0,0,0.000459,0.001292,2.81
p60_70,265137,5,0,0,0.002333,0.007333,3.14
p60_70,420295,5,0,0,0.000500,0.002000,4.00
p60_70,366388,5,0,0,0.000583,0.001750,3.00
p60_70,381655,5,0,0,0.000667,0.002083,3.12
p60_70,285474,5,0,0,0.000417,0.001542,3.70
p60_70,61387,5,0,0,0.000500,0.001291,2.58
p60_70,347016,5,0,0,0.000583,0.001875,3.22
p60_70,273324,5,0,0,0.000500,0.001417,2.83
p60_70,384935,5,0,0,0.000500,0.001958,3.92
p70_80,154003,5,0,0,0.000500,0.001084,2.17
p70_80,279950,5,0,0,0.000500,0.001042,2.08
p70_80,233632,5,0,0,0.000459,0.000958,2.09
p70_80,231187,5,0,0,0.000500,0.001083,2.17
p70_80,292454,5,0,0,0.000500,0.001084,2.17
p70_80,286897,5,0,0,0.000459,0.006959,15.16
p70_80,170197,5,0,0,0.000458,0.001000,2.18
p70_80,221988,5,0,0,0.000334,0.000750,2.25
p70_80,127696,5,0,0,0.000500,0.000916,1.83
p70_80,250205,5,0,0,0.000667,0.001250,1.87
p80_90,325740,5,0,0,0.000500,0.000834,1.67
p80_90,319587,5,0,0,0.000417,0.001000,2.40
