k,set,method,median_ms,min_ms,max_ms,mean_answer_edges,queries,reps
40,H,indexed,0.084215,0.067163,0.260000,6886,20,5
40,H,free,65.845856,63.124781,66.979875,6886,20,5
40,L,indexed,0.027094,0.024204,0.031258,2569,20,5
40,L,free,18.979652,18.712906,19.078781,2569,20,5
50,H,indexed,0.073860,0.061458,0.285519,6886,20,5
50,H,free,67.242360,66.433988,68.343254,6886,20,5
50,L,indexed,0.014473,0.013733,0.063844,1571,20,5
50,L,free,14.946708,14.260911,19.251471,1571,20,5
60,H,indexed,0.058931,0.053875,0.339523,6098,20,5
60,H,free,73.869969,69.278587,80.654988,6098,20,5
60,L,indexed,0.008963,0.007810,0.012727,808,20,5
60,L,free,7.122096,7.019227,7.647113,808,20,5
70,H,indexed,0.058506,0.053483,0.067350,6054,20,5
70,H,free,70.812415,69.632873,75.016550,6054,20,5
70,L,indexed,0.005987,0.004935,0.180937,515,20,5
70,L,free,5.514715,5.382954,5.598575,515,20,5
80,H,indexed,0.054089,0.050979,4.286981,6054,20,5
80,H,free,70.771400,68.958458,72.385456,6054,20,5
80,L,indexed,0.004829,0.004544,0.009002,515,20,5
80,L,free,5.577179,5.234033,5.946419,515,20,5
90,H,indexed,0.052352,0.050758,0.082385,6054,20,5
90,H,free,70.161813,69.910963,75.501948,6054,20,5
90,L,indexed,0.005225,0.004663,0.006796,515,20,5
90,L,free,5.763702,5.514688,6.252040,515,20,5
100,H,indexed,0.057354,0.052715,0.089456,6054,20,5
100,H,free,73.237373,68.019410,86.594817,6054,20,5
100,L,indexed,0.005319,0.004804,0.013654,515,20,5
100,L,free,6.022573,5.641537,6.432229,515,20,5
113,H,indexed,0.044302,0.043304,0.185573,4508,20,5
113,H,free,52.444431,51.013969,53.736542,4508,20,5
113,L,indexed,0.000438,0.000227,0.002094,0,20,5
113,L,free,0.002354,0.002121,0.053392,0,20,5
