k,set,method,median_ms,min_ms,max_ms,mean_answer_edges,queries,reps
2,H,indexed,45.248621,42.771077,49.979531,408885,20,3
2,H,free,947.898058,904.706929,983.422819,408885,20,3
2,L,indexed,12.980042,12.883348,16.213000,136288,20,3
2,L,free,305.305019,287.832767,311.745139,136288,20,3
5,H,indexed,23.403898,19.492938,25.312113,300410,20,3
5,H,free,815.561323,801.329240,824.010488,300410,20,3
5,L,indexed,1.925481,1.535042,1.972979,20025,20,3
5,L,free,49.720346,49.285708,54.145544,20025,20,3
10,H,indexed,0.327540,0.305196,0.476633,12493,20,3
10,H,free,52.282877,51.408815,63.261200,12493,20,3
10,L,indexed,0.000173,0.000156,0.000538,0,20,3
10,L,free,0.000283,0.000244,0.002560,0,20,3
20,H,indexed,0.000496,0.000308,0.000921,0,20,3
20,H,free,0.001113,0.000696,0.004485,0,20,3
20,L,indexed,0.000173,0.000154,0.000183,0,20,3
20,L,free,0.000238,0.000235,0.000321,0,20,3
40,H,indexed,0.000323,0.000308,0.000381,0,20,3
40,H,free,0.000798,0.000710,0.000892,0,20,3
40,L,indexed,0.000150,0.000135,0.000173,0,20,3
40,L,free,0.000300,0.000217,0.000356,0,20,3
60,H,indexed,0.000340,0.000306,0.000527,0,20,3
60,H,free,0.000819,0.000667,0.000892,0,20,3
60,L,indexed,0.000163,0.000142,0.000198,0,20,3
60,L,free,0.000271,0.000225,0.000313,0,20,3
90,H,indexed,0.000440,0.000367,0.000952,0,20,3
90,H,free,0.000835,0.000708,0.000938,0,20,3
90,L,indexed,0.000148,0.000133,0.000165,0,20,3
90,L,free,0.000300,0.000210,0.000513,0,20,3
113,H,indexed,0.000304,0.000298,0.000329,0,20,3
113,H,free,0.000823,0.000708,0.000911,0,20,3
113,L,indexed,0.000142,0.000142,0.000163,0,20,3
113,L,free,0.000225,0.000217,0.000310,0,20,3
