bucket,vertex,k,communities,answer_edges,indexed_ms,indexfree_ms,speedup
p0_10,22901,5,1,595,0.005167,1.532417,296.58
p0_10,11241,5,1,3600,0.058791,7.749792,131.82
p0_10,24330,5,0,0,0.004125,0.004000,0.97
p0_10,22177,5,4,3617,0.108084,7.984709,73.88
p0_10,5621,5,1,3600,0.187083,7.784583,41.61
p0_10,339,5,3,3602,0.059625,7.531833,126.32
p0_10,15148,5,1,595,0.005166,1.679125,325.03
p0_10,3820,5,1,595,0.004083,1.428833,349.95
p0_10,22903,5,1,102,0.004583,0.120583,26.31
p0_10,22887,5,1,3600,0.889209,7.879959,8.86
p0_10,18894,5,2,3601,0.083042,7.755291,93.39
p0_10,6868,5,1,595,0.005083,1.648000,324.22
p0_10,24559,5,4,3603,0.074417,8.190458,110.06
p0_10,26039,5,1,595,0.005334,1.553708,291.28
p0_10,5412,5,1,210,0.007458,0.345209,46.29
p0_10,7712,5,1,3600,0.056625,7.794583,137.65
p0_10,12781,5,1,3600,0.055167,8.599000,155.87
p0_10,4575,5,2,90,0.011958,0.136041,11.38
p0_10,13482,5,1,595,0.004041,2.117250,523.94
p0_10,2072,5,0,0,0.002125,0.002375,1.12
p0_10,3909,5,3,3602,0.060500,7.871709,130.11
p0_10,20534,5,1,3600,0.077959,7.626542,97.83
p0_10,23514,5,1,210,0.001208,0.358208,296.53
p0_10,17580,5,1,285,0.017083,0.491750,28.79
p0_10,18778,5,1,3600,0.051500,8.013959,155.61
p0_10,11015,5,1,3600,0.046666,7.535667,161.48
p0_10,615,5,2,19,0.004167,0.018542,4.45
p0_10,18122,5,0,0,0.000834,0.002292,2.75
p0_10,12627,5,1,65,0.002917,0.056167,19.26
p0_10,6708,5,1,105,0.004875,0.111375,22.85
p0_10,22691,5,1,3600,0.095000,7.819083,82.31
p0_10,25271,5,3,3602,0.060500,7.772416,128.47
p0_10,12491,5,2,144,0.016083,0.126916,7.89
p0_10,18453,5,1,3600,0.052959,8.146334,153.82
p0_10,19216,5,1,3600,0.055375,7.796292,140.79
p0_10,18952,5,1,285,0.007292,0.478958,65.68
p0_10,22527,5,1,3600,0.052083,7.608083,146.08
p0_10,8254,5,0,0,0.002167,0.001750,0.81
p0_10,22601,5,2,363,0.008000,0.569917,71.24
p0_10,18000,5,1,595,0.008250,1.582084,191.77
p0_10,832,5,1,120,0.005833,0.150792,25.85
p0_10,19640,5,2,3601,0.139791,7.645041,54.69
p0_10,88,5,1,3600,0.056625,8.026041,141.74
p0_10,20562,5,1,3600,0.052083,7.679458,147.45
p0_10,5065,5,1,285,0.004833,0.473375,97.95
p0_10,4513,5,1,3600,0.050625,7.720041,152.49
p0_10,1563,5,1,285,0.003791,0.476709,125.75
p0_10,23836,5,0,0,0.002792,0.001667,0.60
p0_10,1217,5,2,144,0.007791,0.120000,15.40
p0_10,8261,5,1,3600,0.050042,7.601542,151.90
p0_10,9313,5,1,3600,0.050166,8.051125,160.49
p0_10,12587,5,0,0,0.003209,0.001625,0.51
p0_10,45,5,1,3600,0.071208,7.598375,106.71
p0_10,12927,5,0,0,0.004958,0.003167,0.64
p0_10,23452,5,1,3600,0.080042,8.024000,100.25
p0_10,20780,5,1,210,0.003917,0.353667,90.29
p0_10,14766,5,1,3600,0.055250,7.998125,144.76
p0_10,3814,5,1,276,0.002833,0.542542,191.51
p0_10,12851,5,1,3600,0.077584,7.991792,103.01
p0_10,24696,5,4,29,0.006125,0.026541,4.33
p0_10,5052,5,2,3601,0.060375,8.193833,135.72
p0_10,18940,5,3,93,0.011666,0.095000,8.14
p0_10,185,5,1,153,0.001625,0.215250,132.46
p0_10,17385,5,1,102,0.003417,0.108417,31.73
p0_10,10243,5,2,3601,0.059750,8.521833,142.62
p0_10,2287,5,1,3600,0.062750,7.831209,124.80
