k,set,method,median_ms,min_ms,max_ms,mean_answer_edges,queries,reps
2,H,indexed,0.055688,0.051855,0.078599,2212,100,5
2,H,free,4.151658,3.939602,5.939675,2212,100,5
2,L,indexed,0.012457,0.011712,0.015948,508,100,5
2,L,free,0.955245,0.896400,0.978174,508,100,5
3,H,indexed,0.045759,0.044993,0.053134,2121,100,5
3,H,free,3.832557,3.733434,4.043678,2121,100,5
3,L,indexed,0.008550,0.007536,0.009065,388,100,5
3,L,free,0.709398,0.699380,0.740136,388,100,5
5,H,indexed,0.010716,0.010457,0.013032,1013,100,5
5,H,free,2.287336,2.265700,2.332178,1013,100,5
5,L,indexed,0.000193,0.000172,0.000374,0,100,5
5,L,free,0.000236,0.000216,0.000632,0,100,5
8,H,indexed,0.002007,0.001797,0.003622,296,100,5
8,H,free,0.696890,0.691518,0.780142,296,100,5
8,L,indexed,0.000167,0.000152,0.000314,0,100,5
8,L,free,0.000322,0.000219,0.000675,0,100,5
12,H,indexed,0.000534,0.000525,0.000662,80,100,5
12,H,free,0.193940,0.191250,0.201950,80,100,5
12,L,indexed,0.000166,0.000151,0.000215,0,100,5
12,L,free,0.000232,0.000211,0.000664,0,100,5
20,H,indexed,0.000474,0.000465,0.000573,68,100,5
20,H,free,0.182320,0.175590,0.188600,68,100,5
20,L,indexed,0.000160,0.000152,0.000201,0,100,5
20,L,free,0.000228,0.000224,0.000518,0,100,5
30,H,indexed,0.000509,0.000448,0.000968,55,100,5
30,H,free,0.162671,0.161229,0.167501,55,100,5
30,L,indexed,0.000187,0.000167,0.000213,0,100,5
30,L,free,0.000218,0.000195,0.000555,0,100,5
43,H,indexed,0.000294,0.000278,0.000355,9,100,5
43,H,free,0.033481,0.029373,0.034204,9,100,5
43,L,indexed,0.000183,0.000176,0.000192,0,100,5
43,L,free,0.000186,0.000180,0.000586,0,100,5
